sample    	read_local_address                                             	contig_local_address                                             	fwd                                                                     	rev                                                                     	contigs                                         	Date      	Depth 	Ocean   	Location	Lon      	Lat       	cruise_id	cruise_station
SRR5720229	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5720229/SRR5720229_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5720229/SRR5720229_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5720229	2003-07-15	180   	Atlantic	BATS    	-30      	159       	BATS178  	BATS
SRR5720230	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5720230/SRR5720230_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5720230/SRR5720230_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5720230	2003-07-15	120   	Atlantic	BATS    	-30      	162.998   	BATS178  	BATS
SRR5720231	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5720231/SRR5720231_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5720231/SRR5720231_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5720231	2003-02-21	180   	Atlantic	BATS    	-30      	167       	BATS173  	BATS
SRR5720232	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5720232/SRR5720232_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5720232/SRR5720232_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/002/SRR5720232	2003-02-21	40    	Atlantic	BATS    	-30      	162.998   	BATS173  	BATS
SRR5720233	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5720233/SRR5720233_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5720233/SRR5720233_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/003/SRR5720233	2003-02-21	1     	Atlantic	BATS    	-30      	162.998   	BATS173  	BATS
SRR5720234	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5720234/SRR5720234_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5720234/SRR5720234_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/004/SRR5720234	2004-12-08	180   	Atlantic	BATS    	-30      	167       	BATS195  	BATS
SRR5720235	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5720235/SRR5720235_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5720235/SRR5720235_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/005/SRR5720235	2003-07-15	10    	Atlantic	BATS    	-30      	167       	BATS178  	BATS
SRR5720236	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5720236/SRR5720236_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5720236/SRR5720236_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5720236	2003-03-22	180   	Atlantic	BATS    	-30      	159       	BATS174  	BATS
SRR5720237	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5720237/SRR5720237_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5720237/SRR5720237_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5720237	2003-03-22	80    	Atlantic	BATS    	-30      	159       	BATS174  	BATS
SRR5720238	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5720238/SRR5720238_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5720238/SRR5720238_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/008/SRR5720238	2003-03-22	1     	Atlantic	BATS    	-30      	159       	BATS174  	BATS
SRR5720239	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5720239/SRR5720239_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5720239/SRR5720239_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5720239	2003-01-17	175   	Pacific 	ALOHA   	-30      	156       	HOT144   	HOT
SRR5720240	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5720240/SRR5720240_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5720240/SRR5720240_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5720240	2003-01-17	125   	Pacific 	ALOHA   	-30      	156       	HOT144   	HOT
SRR5720241	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5720241/SRR5720241_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5720241/SRR5720241_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5720241	2004-11-10	5     	Pacific 	ALOHA   	-30      	174       	HOT165   	HOT
SRR5720242	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5720242/SRR5720242_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5720242/SRR5720242_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/002/SRR5720242	2004-10-10	175   	Pacific 	ALOHA   	-30      	174       	HOT164   	HOT
SRR5720243	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5720243/SRR5720243_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5720243/SRR5720243_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/003/SRR5720243	2004-11-10	175   	Pacific 	ALOHA   	-30      	174       	HOT165   	HOT
SRR5720244	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5720244/SRR5720244_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5720244/SRR5720244_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/004/SRR5720244	2004-11-10	100   	Pacific 	ALOHA   	-30      	175.947   	HOT165   	HOT
SRR5720245	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5720245/SRR5720245_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5720245/SRR5720245_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/005/SRR5720245	2004-12-14	100   	Pacific 	ALOHA   	-30      	175.947   	HOT166   	HOT
SRR5720246	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5720246/SRR5720246_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5720246/SRR5720246_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5720246	2004-12-14	5     	Pacific 	ALOHA   	-30      	174       	HOT166   	HOT
SRR5720247	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5720247/SRR5720247_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5720247/SRR5720247_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5720247	2003-01-17	5     	Pacific 	ALOHA   	-30      	175.947   	HOT144   	HOT
SRR5720248	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5720248/SRR5720248_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5720248/SRR5720248_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/008/SRR5720248	2004-12-14	175   	Pacific 	ALOHA   	-30      	156       	HOT166   	HOT
SRR5720249	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5720249/SRR5720249_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5720249/SRR5720249_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5720249	2004-04-21	40    	Atlantic	BATS    	-30      	174       	BATS187  	BATS
SRR5720250	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5720250/SRR5720250_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5720250/SRR5720250_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5720250	2004-04-21	180   	Atlantic	BATS    	-30      	156       	BATS187  	BATS
SRR5720251	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5720251/SRR5720251_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5720251/SRR5720251_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5720251	2004-09-14	1     	Atlantic	BATS    	-30      	156       	BATS192  	BATS
SRR5720252	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5720252/SRR5720252_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5720252/SRR5720252_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/002/SRR5720252	2004-09-14	100   	Atlantic	BATS    	-30      	175.947   	BATS192  	BATS
SRR5720253	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5720253/SRR5720253_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5720253/SRR5720253_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/003/SRR5720253	2004-06-15	100   	Atlantic	BATS    	-30      	175.947   	BATS189  	BATS
SRR5720254	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5720254/SRR5720254_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5720254/SRR5720254_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/004/SRR5720254	2004-06-15	180   	Atlantic	BATS    	-30      	170.877   	BATS189  	BATS
SRR5720255	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5720255/SRR5720255_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5720255/SRR5720255_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/005/SRR5720255	2003-08-12	160   	Atlantic	BATS    	-30      	170.877   	BATS179  	BATS
SRR5720256	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5720256/SRR5720256_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5720256/SRR5720256_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5720256	2004-04-21	1     	Atlantic	BATS    	-30      	170.877   	BATS187  	BATS
SRR5720257	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5720257/SRR5720257_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5720257/SRR5720257_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5720257	2004-05-18	10    	Atlantic	BATS    	-30      	170.877   	BATS188  	BATS
SRR5720258	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5720258/SRR5720258_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5720258/SRR5720258_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/008/SRR5720258	2004-05-18	80    	Atlantic	BATS    	-30      	170.877   	BATS188  	BATS
SRR5720259	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5720259/SRR5720259_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5720259/SRR5720259_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5720259	2004-05-18	180   	Atlantic	BATS    	-30      	167       	BATS188  	BATS
SRR5720260	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5720260/SRR5720260_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5720260/SRR5720260_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5720260	2004-06-15	10    	Atlantic	BATS    	-30      	167       	BATS189  	BATS
SRR5720261	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5720261/SRR5720261_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5720261/SRR5720261_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5720261	2003-11-04	180   	Atlantic	BATS    	-31.6    	178       	BATS182  	BATS
SRR5720262	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5720262/SRR5720262_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5720262/SRR5720262_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/002/SRR5720262	2003-12-02	1     	Atlantic	BATS    	-31.6    	178       	BATS183  	BATS
SRR5720263	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5720263/SRR5720263_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5720263/SRR5720263_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/003/SRR5720263	2003-12-02	100   	Atlantic	BATS    	-31.6    	178       	BATS183  	BATS
SRR5720264	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5720264/SRR5720264_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5720264/SRR5720264_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/004/SRR5720264	2003-12-02	180   	Atlantic	BATS    	-31.6    	178       	BATS183  	BATS
SRR5720265	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5720265/SRR5720265_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5720265/SRR5720265_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/005/SRR5720265	2003-04-23	175   	Pacific 	ALOHA   	-31.6    	178       	HOT147   	HOT
SRR5720266	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5720266/SRR5720266_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5720266/SRR5720266_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5720266	2003-05-20	5     	Pacific 	ALOHA   	-34.62898	17.06995  	HOT148   	HOT
SRR5720267	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/reads	/gpfs/ts0/home/bt273/BIOS-SCOPE/metag/shared_store/biller/contigs	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5720267/SRR5720267_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5720267/SRR5720267_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5720267	2003-02-25	175   	Pacific 	ALOHA   	-34.62898	17.06995  	HOT145   	HOT
